"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2021A000011124","Population","Total, all education levels","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582571","1.1.1.1.3","24687.1","","","","1"
"2016","Canada","2021A000011124","Population","Total, all education levels","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582571","1.1.1.1.3","25020.2","","","","1"
"2017","Canada","2021A000011124","Population","Total, all education levels","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582571","1.1.1.1.3","25378.1","","","","1"
"2018","Canada","2021A000011124","Population","Total, all education levels","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582571","1.1.1.1.3","25783.7","","","","1"
"2019","Canada","2021A000011124","Population","Total, all education levels","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582571","1.1.1.1.3","26198.5","","","","1"
"2020","Canada","2021A000011124","Population","Total, all education levels","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582571","1.1.1.1.3","26625.6","","","","1"
"2021","Canada","2021A000011124","Population","Total, all education levels","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582571","1.1.1.1.3","26945.3","","","","1"
"2022","Canada","2021A000011124","Population","Total, all education levels","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582571","1.1.1.1.3","27386.1","","","","1"
"2023","Canada","2021A000011124","Population","Total, all education levels","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582571","1.1.1.1.3","28079.4","","","","1"
"2024","Canada","2021A000011124","Population","Total, all education levels","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582571","1.1.1.1.3","28927.0","","","","1"
"2025","Canada","2021A000011124","Population","Total, all education levels","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582571","1.1.1.1.3","29559.5","","","","1"
"2015","Canada","2021A000011124","Population","Total, all education levels","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583381","1.1.1.2.3","12070.3","","","","1"
"2016","Canada","2021A000011124","Population","Total, all education levels","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583381","1.1.1.2.3","12239.0","","","","1"
"2017","Canada","2021A000011124","Population","Total, all education levels","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583381","1.1.1.2.3","12422.6","","","","1"
"2018","Canada","2021A000011124","Population","Total, all education levels","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583381","1.1.1.2.3","12634.4","","","","1"
"2019","Canada","2021A000011124","Population","Total, all education levels","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583381","1.1.1.2.3","12849.1","","","","1"
"2020","Canada","2021A000011124","Population","Total, all education levels","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583381","1.1.1.2.3","13073.8","","","","1"
"2021","Canada","2021A000011124","Population","Total, all education levels","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583381","1.1.1.2.3","13240.4","","","","1"
"2022","Canada","2021A000011124","Population","Total, all education levels","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583381","1.1.1.2.3","13458.9","","","","1"
"2023","Canada","2021A000011124","Population","Total, all education levels","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583381","1.1.1.2.3","13819.3","","","","1"
"2024","Canada","2021A000011124","Population","Total, all education levels","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583381","1.1.1.2.3","14269.9","","","","1"
"2025","Canada","2021A000011124","Population","Total, all education levels","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583381","1.1.1.2.3","14586.1","","","","1"
"2015","Canada","2021A000011124","Population","Total, all education levels","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584191","1.1.1.3.3","12616.8","","","","1"
"2016","Canada","2021A000011124","Population","Total, all education levels","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584191","1.1.1.3.3","12781.3","","","","1"
"2017","Canada","2021A000011124","Population","Total, all education levels","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584191","1.1.1.3.3","12955.5","","","","1"
"2018","Canada","2021A000011124","Population","Total, all education levels","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584191","1.1.1.3.3","13149.2","","","","1"
"2019","Canada","2021A000011124","Population","Total, all education levels","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584191","1.1.1.3.3","13349.4","","","","1"
"2020","Canada","2021A000011124","Population","Total, all education levels","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584191","1.1.1.3.3","13551.8","","","","1"
"2021","Canada","2021A000011124","Population","Total, all education levels","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584191","1.1.1.3.3","13704.8","","","","1"
"2022","Canada","2021A000011124","Population","Total, all education levels","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584191","1.1.1.3.3","13927.2","","","","1"
"2023","Canada","2021A000011124","Population","Total, all education levels","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584191","1.1.1.3.3","14260.1","","","","1"
"2024","Canada","2021A000011124","Population","Total, all education levels","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584191","1.1.1.3.3","14657.0","","","","1"
"2025","Canada","2021A000011124","Population","Total, all education levels","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584191","1.1.1.3.3","14973.4","","","","1"
"2015","Canada","2021A000011124","Population","High school graduate","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582574","1.1.4.1.3","4943.7","","","","1"
"2016","Canada","2021A000011124","Population","High school graduate","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582574","1.1.4.1.3","4904.5","","","","1"
"2017","Canada","2021A000011124","Population","High school graduate","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582574","1.1.4.1.3","5008.3","","","","1"
"2018","Canada","2021A000011124","Population","High school graduate","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582574","1.1.4.1.3","5020.1","","","","1"
"2019","Canada","2021A000011124","Population","High school graduate","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582574","1.1.4.1.3","4913.9","","","","1"
"2020","Canada","2021A000011124","Population","High school graduate","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582574","1.1.4.1.3","4967.0","","","","1"
"2021","Canada","2021A000011124","Population","High school graduate","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582574","1.1.4.1.3","5058.4","","","","1"
"2022","Canada","2021A000011124","Population","High school graduate","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582574","1.1.4.1.3","5023.4","","","","1"
"2023","Canada","2021A000011124","Population","High school graduate","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582574","1.1.4.1.3","5020.1","","","","1"
"2024","Canada","2021A000011124","Population","High school graduate","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582574","1.1.4.1.3","5021.9","","","","1"
